Região,Município,CV_BCG,CV_HEPatite_B,CV_HIB,CV_DPT,CV_Polio,CV_rota,CV_Pneumo,CV_MNCC,CV_SCR1,CV_SCR2,CV_VARICELA,CV_HEPATITE_A
Região Norte,130395 São Sebastião do Uatumã,90.73,101.95,101.95,101.95,109.76,87.80,94.63,95.61,91.71,32.20,78.54,64.39
Região Norte,130400 Silves,61.33,103.87,103.87,103.87,107.18,101.66,114.92,106.63,105.62,98.31,93.82,108.99
Região Norte,130406 Tabatinga,97.70,80.22,80.22,80.34,77.74,74.17,79.55,80.70,84.03,63.21,72.11,72.24
Região Norte,130410 Tapauá,86.73,67.70,67.70,67.70,70.80,61.73,77.43,75.66,66.30,52.99,58.76,62.53
Região Norte,130420 Tefé,110.66,89.40,89.40,89.40,87.89,74.16,92.02,84.71,91.10,62.27,75.47,79.83
Região Norte,130423 Tonantins,36.17,39.08,39.08,39.08,38.35,30.58,40.05,35.92,39.01,33.58,34.32,36.05
Região Norte,130426 Uarini,35.63,41.02,41.02,41.32,40.12,26.65,54.19,38.32,37.16,7.85,18.73,29.61
Região Norte,130430 Urucará,87.89,88.24,88.58,88.93,90.66,82.35,93.43,83.39,109.82,9.82,93.33,87.37
Região Norte,130440 Urucurituba,105.84,80.41,80.07,80.07,85.57,81.44,97.25,82.47,77.00,52.61,52.96,81.88
Região Norte,140002 Amajari,5.82,21.27,21.27,21.27,19.75,22.53,24.30,24.56,26.27,18.23,22.25,22.79
Região Norte,140005 Alto Alegre,0.54,24.15,24.15,24.15,23.07,19.54,21.44,23.88,30.49,11.05,24.34,27.27
Região Norte,140010 Boa Vista,123.72,63.92,64.03,64.17,62.93,64.39,73.39,68.27,82.68,49.01,54.38,60.34
Região Norte,140015 Bonfim,2.37,29.74,29.74,30.17,29.96,34.27,40.52,35.99,43.02,21.06,36.14,27.27
Região Norte,140017 Cantá,0.27,39.41,39.41,39.41,39.68,40.48,45.84,42.63,53.70,12.88,35.07,38.08
Região Norte,140020 Caracaraí,4.41,48.03,47.80,47.80,48.96,44.08,50.81,45.24,60.30,34.00,42.18,45.91
Região Norte,140023 Caroebe,6.56,87.43,87.43,88.52,81.42,84.15,100.55,102.73,73.63,74.18,70.33,42.86
Região Norte,140028 Iracema,0.67,55.03,55.03,55.03,57.05,55.03,59.73,66.44,65.54,14.19,39.19,55.41
Região Norte,140030 Mucajaí,0.00,71.51,71.51,71.51,70.62,73.00,83.98,70.03,87.61,68.28,93.05,81.87
Região Norte,140040 Normandia,3.43,20.40,20.40,20.40,19.13,16.06,19.86,19.49,13.81,3.68,11.60,15.65
Região Norte,140045 Pacaraima,13.78,36.61,36.61,36.61,35.24,37.20,49.61,42.32,93.20,28.00,82.00,71.80
Região Norte,140047 Rorainópolis,50.67,69.40,69.40,69.40,64.38,65.72,73.41,68.06,126.83,10.53,63.16,66.21
Região Norte,140050 São João da Baliza,14.29,89.68,89.68,90.48,90.48,65.87,76.98,87.30,132.79,20.49,86.07,77.87
Região Norte,140060 São Luiz,2.83,75.47,75.47,75.47,66.98,64.15,68.87,71.70,69.23,56.73,61.54,37.50
Região Norte,140070 Uiramutã,4.64,12.44,12.44,12.44,12.94,13.76,14.43,13.27,15.04,2.91,13.16,11.79
Região Norte,150010 Abaetetuba,84.87,60.31,60.23,60.31,60.15,58.93,61.05,61.48,66.71,34.13,42.88,53.90
Região Norte,150013 Abel Figueiredo,117.35,84.69,84.69,84.69,92.86,110.20,101.02,100.00,101.04,85.42,90.63,79.17
