COD,CODMUN7,Estado,Municipio,BCG,Hepatite_B,Hib,DPT,poliomielite,Rotavírus,Pneumonia,Meningococo ,Triplice_viral,Tetraviral,Varicela,Hepatite_A
220270,2202703,PI,Cocal,10.95,81.84,81.84,81.84,71.64,74.88,80.85,80.35,85.92,72.79,71.60,73.27
220271,2202711,PI,Cocal de Telha,37.33,100.00,100.00,100.00,92.00,104.00,116.00,102.67,115.87,63.49,84.13,92.06
220272,2202729,PI,Cocal dos Alves,22.58,93.55,93.55,93.55,70.97,101.61,116.13,114.52,107.14,105.36,108.93,100.00
220273,2202737,PI,Coivaras,7.84,45.10,45.10,45.10,47.06,39.22,54.90,50.98,76.60,29.79,40.43,31.91
220275,2202752,PI,Col“nia do Gurgu‚ia,34.78,89.13,89.13,89.13,89.13,91.30,89.13,81.52,122.08,59.74,83.12,71.43
220277,2202778,PI,Col“nia do Piau¡,2.33,48.84,48.84,48.84,51.16,60.47,63.95,67.44,71.13,15.46,28.87,24.74
220280,2202802,PI,Concei‡Æo do Canind‚,23.19,52.17,52.17,52.17,55.07,71.01,75.36,69.57,83.33,50.00,53.03,56.06
220285,2202851,PI,Coronel Jos‚ Dias,49.23,69.23,69.23,69.23,69.23,78.46,76.92,67.69,66.07,53.57,60.71,60.71
220290,2202901,PI,Corrente,115.37,104.15,104.15,104.39,305.12,81.46,89.51,83.90,101.84,51.03,87.13,67.59
220300,2203008,PI,Cristalƒndia do Piau¡,53.47,94.06,94.06,94.06,93.07,80.20,86.14,86.14,81.00,59.00,48.00,55.00
220310,2203107,PI,Cristino Castro,9.58,110.78,110.78,110.78,105.99,98.20,100.60,105.99,100.58,84.21,83.04,73.68
220320,2203206,PI,Curimat ,4.81,45.19,45.19,45.19,38.94,48.56,51.92,51.44,50.26,18.32,17.28,38.22
220323,2203230,PI,Currais,1.25,92.50,92.50,92.50,76.25,92.50,95.00,91.25,79.57,61.29,70.97,69.89
220325,2203255,PI,Curralinhos,23.53,121.57,121.57,121.57,109.80,103.92,105.88,111.76,75.68,52.70,87.84,60.81
220327,2203271,PI,Curral Novo do Piau¡,112.68,76.06,76.06,76.06,67.61,97.18,92.96,104.23,108.70,76.81,84.06,88.41
220330,2203305,PI,Demerval LobÆo,115.77,172.07,172.07,172.07,513.96,188.29,195.05,181.98,143.69,16.99,121.36,100.97
220335,2203354,PI,Dirceu Arcoverde,59.18,38.78,38.78,38.78,42.86,42.86,52.04,43.88,40.00,8.00,10.00,2.00
220340,2203404,PI,Dom Expedito Lopes,01.09,81.52,81.52,81.52,65.22,76.09,78.26,76.09,117.57,104.05,113.51,74.32
220342,2203420,PI,Domingos MourÆo,23.08,117.31,117.31,117.31,111.54,128.85,128.85,123.08,122.22,105.56,118.52,90.74
220345,2203453,PI,Dom Inocˆncio,19.48,102.60,103.90,102.60,76.62,77.92,81.82,88.31,95.56,88.89,82.22,81.11
220350,2203503,PI,ElesbÆo Veloso,46.36,109.27,109.27,109.27,113.25,110.60,109.27,116.56,101.83,50.61,78.05,104.88
220360,2203602,PI,Eliseu Martins,42.00,86.00,86.00,86.00,94.00,76.00,80.00,94.00,102.04,57.14,55.10,63.27
220370,2203701,PI,Esperantina,169.12,39.63,39.63,39.63,39.17,37.33,39.48,41.01,34.19,22.42,24.19,25.16
220375,2203750,PI,Fartura do Piau¡,7.94,96.83,96.83,96.83,87.30,79.37,74.60,69.84,73.44,39.06,39.06,57.81
220380,2203800,PI,Flores do Piau¡,50.00,90.00,90.00,90.00,87.14,102.86,108.57,91.43,114.55,118.18,121.82,101.82
220385,2203859,PI,Floresta do Piau¡,,129.41,129.41,129.41,105.88,135.29,135.29,123.53,94.74,100.00,63.16,100.00
220390,2203909,PI,Floriano,109.40,42.31,42.31,42.31,42.84,42.84,45.30,45.51,43.59,35.12,34.61,21.80
220400,2204006,PI,Francin¢polis,30.00,113.33,113.33,113.33,85.00,80.00,98.33,103.33,100.00,56.90,84.48,68.97
220410,2204105,PI,Francisco Ayres,12.50,81.25,81.25,81.25,95.31,81.25,93.75,53.13,82.14,44.64,57.14,78.57
